question,answer
Does this program meet my needs?,Yes
Will suspending the deduction help to avoid an over payment?,Yes
Will I need multiple Medicare provider numbers?,Irrelevant
Am I committing benefit fraud?,No
Do I qualify for Winter Fuel Payment?,No
Is this a digital service?,Is the service downloadable music?
May I be able to claim benefits?,Yes
Can I get tax relief?,Was the property occupied by a dependent relative?
Am I eligible for the loan?,Yes
Is this a digital service?,Yes
Am I eligible for the SBA 7(a) program?,No
Can I claim and deal with tax credits for this person?,No
Can the VA help me with this purchase?,No
Can I call the helpline now?,Yes
Do I qualify for assistance?,No
Can I export this product to North Korea?,No
Can I apply for Tier 4 student visa?,Yes
Do I need a supplier document?,Yes
Will I get the National Minimum Wage?,Yes
Can I qualify for Working Tax Credit?,Are you 16 or over?
Can I use the loan for this expense?,No
Can this payment be stopped or reduced?,No
Can CentrePay help my Business reduce this cost?,Yes
Do I have the right to return to my job?,Yes
Do I need to include this if I write?,Yes
Do I qualify for relief for most of the time I live away,Yes
Do I need to apply for an initial Medicare provider number?,Are you graduating health professional and have an intern position?
Can my Business use Centrepay?,Will you keep records of your customer’s Centrepay payments for up to 2 years and store them securely?
Can my Business use Centrepay?,No
Can I claim my State Pension abroad?,Yes
Can I move these plants?,Yes
Do I need to wear a seat belt?,Do you have a disability or other medical condition that makes it unsafe or impossible to wear a seat belt?
Does the SBA loan meet my needs?,Irrelevant
Is a collateral required?,"Is the value of the MREIDLs over $50,000?"
Am I eligible ?,Is your disability for which you are using the prosthetic or orthopedic appliance service-connected?
Can my benefits be affected?,Yes
Can I ask for mandatory reconsideration for this benefit?,No
May I qualify for VA health care benefits?,No
Will I be asked questions by this person?,Is this person the government department or council’s representative (known as the ‘presenting officer’)?
Am I entitled to the National Minimum Wage?,Are you an au pair living with the family you work for?
May I be able to get Working Tax Credi?,No
Will I get the National Minimum Wage?,Yes
Can I get Winter Fuel Payment?,No
Can I get the 'top up'?,Yes
Does the SBA loan meet my needs?,No
Can this benefit reduced or stopped?,No
Can I use the loan for this expense?,Yes
Can I set a target amount?,Irrelevant
Will I be asked questions by this person?,"Is this person your representative (if you have one), such as a lawyer, friend, family member or someone from an advice centre?"
Could I be considered as an employer?,No
Will I get up to £2010?,Yes
Can this payment be stopped or reduced?,Yes
Does this insurance cover this Veteran?,Did the veteran meet the basic eligibility requirements for S-DVI?
Can I claim this expense?,Is it a travel expense to cover your fare if you get there using public transport?
Can I use the loan for this expense?,Will the loan be used for normal operating expenses?
Can it be paid to my dependent?,Irrelevant
Am I eligible for a Tier 4 (General) student visa?,do you have enough money to support yourself and pay for the course?
Am I eligible?,No
Can I apply for a Tier 4 (General) student visa?,"Can you speak, read, write and understand English?"
Could I inherit part of my deceased partner’s Additional State Pension?,Yes
Can this payment be stopped or reduced?,No
Can I claim Disability Living Allowance mobility component?,Yes
Can this farmer get a credit from the FSA farm loan program?,Is this farmer able to obtain credit from the commercial lending sector?
Does this payment count as paid work?,Yes
Can I ask for mandatory reconsideration for this benefit?,Yes
Can I qualify for a Winter Fuel Payment?,No
Can I move livestock or poultry?,No
Is this income suitable for me?,No
Can I inherit my spouse’s Additional State Pension?,No
Does the loan meet my needs?,Did you need a loan over $2 million?
Can I get cash assistance from TANF?,No
Can I get vulnerable student bursary?,Do you get Personal Independence Payment (PIP) in your name and either ESA or Universal Credit
Can I claim and deal with tax credits for this person?,Yes
Will my landlord may be asked to repay the money?,Yes
Can I claim this amount?,Yes
Does the loan meet my needs?,Yes
Can I get a CAS?,Yes
Could I be able to stay longer to continue my course?,No
Can I use Aged Care Online Claiming?,Yes
Can I inherit my spouse’s Additional State Pension?,Did you reach your State Pension age?
Can this benefit reduced or stopped?,Is the benefit Industrial Injuries Exceptionally Severe Disablement Allowance (where a Disablement Pension is payable)?
Can Educational and Career Counseling help me?,Do you want to address barriers that may impede success in training or employment?
Am I entitled to the National Minimum Wage?,Are you a share fisherman?
Am I entitled to the National Minimum Wage?,Yes
Can I claim bereavement benefits?,No
Do I have to pay SE tax and file Schedule SE?,Yes
Can I ask for mandatory reconsideration for this benefit?,Is this benefit a Pension Credit?
Am I a eligible for this loan?,No
Can I export this product to North Korea?,No
Have I contributed through my National Insurance contributions?,Yes
Can this benefit reduced or stopped?,Is it your Attendance Allowance?
Do I qualify for assistance?,DO you possess legal capacity to incur loan obligations?
Can I use the Centrelink Business Online Services today?,Yes
Can I export this product to North Korea?,Is your product high quality wines and spirits?
Can I be considered for this program?,Yes
Are there special rules for exporting these chemicals?,Yes
Can this benefit reduced or stopped?,Yes
Can I inherit my spouse’s Additional State Pension?,No
Can I claim and deal with tax credits for this person?,No
Can I inherit my spouse’s Additional State Pension?,No
Can I be an individual borrower?,No
Does this guide apply to me?,No
Can my Business make use of Centrepay?,Yes
Do I qualify for Working Tax Credit?,Does your self-employed work aim to make a profit?
Can openings be available to me?,No
Do I need a plant passport?,Yes
Do I need a supplier document?,No
Can I get tax credits?,Are you ‘subject to immigration control’?
Can this benefit be reduced or stopped?,Yes
Will there will be any change to my rights and status?,No
Can I claim this expense?,Are you going to tribunal?
Can I get fined up to £300?,Have you failed to report changes within 30 days?
Can I use the minimum wage calculator?,Yes
Can I get fined up to £300?,Yes
Can ALE help this organisation?,Yes
Do I need to update my rent certificate?,Have you recently updated your address or accommodation details with Centrelink?
Do I need to apply for an EAD?,Yes
Is this income suitable for me?,No
Could I get Cold Weather Payments?,Yes
Do I qualify for the extra Savings Credit?,Yes
Can the VA help me with this purchase?,Is the purchase for an automobile?
Can this fund help me?,No
Can I appoint a nominee?,No
Does the loan meet my needs?,Did you need a loan over $2 million?
Can I qualify for Working Tax Credit?,Yes
Can I export this product to North Korea?,"Is the product a hand knotted carpet, hand woven rug or tapestry?"
Do I qualify for Guarantee Credit?,Have you or your partner reached the pension credit qualifying age?
Am I able to take all the money in my pension as a tax-free lump sum?,No
Can I be a designated provider for this person?,No
Can I ask for mandatory reconsideration for this benefit?,Is this benefit a Pension Credit?
Am I entitled to the National Minimum Wage?,Yes
Can I get an additional one-year period after enactment to enroll for VA health care?,No
Do I qualify for Guarantee Credit?,No
Am I eligible for 16 to 19 Bursary Fund?,Yes
May I be able to get Child Tax Credit?,Yes
Can my employer take this as my resignation?,Yes
Can I use the Capital Gains Tax calculator?,Did you claim any reliefs other than private residence or letting?
Do I have authority to view care recipient information?,No
Can I ge the full amount?,Yes
Is this a digital service?,Is the service video on demand?
Can the VA help me with this purchase?,Are you disabled?
Is it possible that I may have to pay UK tax on overseas property?,Did you return to the UK within 5 years of leaving?
Can I get Winter Fuel Payment?,No
Does this payment count as paid work?,Did you win a sports award?
Can I ask for mandatory reconsideration for this benefit?,Is it for Vaccine Damage Payment?
Does local housing allowance apply to me?,Irrelevant
Can my Business use Centrepay?,No
Can I use the same certificate?,No
Am I eligible for this program?,No
Do I have to Capital Gains Tax?,Yes
Am I eligible for 16 to 19 Bursary Fund?,No
Am I eligible for 16 to 19 Bursary Fund?,Do you study at a publicly funded school or college?
Can I reclaim the VAT?,Did you make certain purchases before you registered?
Can I get Winter Fuel Payment?,No
Can I be on motorways or slip roads?,Are you a pedestrian?
Am I eligible for this program?,Yes
Is this a digital service?,Yes
May I have to pay Capital Gains Tax when selling my property?,Yes
Is this airport manager performing all their duties?,Irrelevant
Is a myRA suitable for me?,Yes
Can I claim and deal with tax credits for this person?,Yes
Can I get Crisis Payment?,Yes
Can I get a low-interest loan towards my deposit?,Yes
Can I claim and deal with tax credits for this person?,Yes
Is a myRA suitable for me?,Yes
Can I be classed as doing voluntary work?,No
Does tax relief apply to this?,Yes
Can the VA help me with this purchase?,Are you a Veteran?
Do I have the right to return to my job?,Are you on parental leave?
Can I qualify for Working Tax Credit?,Are you 16 or over?
Will I get the National Minimum Wage?,Yes
Can I be classified as a worker?,"Does the business provides materials, tools or equipment you need to do the work?"
Do I qualify for this benefit program?,Yes
Do I need to wear protective headgear?,Yes
Do I have level 10 authority?,No
"Can I file bankruptcy under Chapter 9, 12 or 15?",Irrelevant
May I qualify for VA health care benefits?,No
Can I export this product to North Korea?,Yes
Is this income suitable for me?,Yes
Can I claim and deal with tax credits for this person?,No
Is it possible that I would have to pay the fund money back?,Irrelevant
Does this loan meet my needs?,Do you need long term financing for the cost of aquacultural facilities in the Northwest Halibut/Sablefish and Alaskan Crab Fisheries?
Do I qualify for assistance?,No
Can I get tax relief?,Yes
Am I entitled to the National Minimum Wage?,No
Can I claim tax credits?,No
Do I have to pay back the loan now?,Yes
Can I be a designated provider for this person?,Yes
Should I apply for the SBA's disaster loan?,No
Is it possible that I may have to pay UK tax on overseas property?,No
Do I qualify for assistance?,Are you unable to obtain  credit elsewhere at reasonable rates and terms to meet actual needs?
Do I need to pay National Insurance?,Do you need to qualify for certain benefits?
Can I decrease a deduction?,Yes
Do I have authority to view latest and historical payment statements for the nominated service?,No
Can I use bursary to pay for this?,Irrelevant
Can I apply to use Centrepay?,No
Can I apply for Tier 4 student visa for this course?,Is the course a recognised foundation programme as a postgraduate doctor or dentist?
Do I qualify for assistance?,Have you caused FSA a loss by receiving debt forgiveness (certain exceptions apply)?
Do I have to file an annual income tax return for my business?,Yes
Does tax relief apply to this?,have you spent time working on a ship outside the UK?
Can I register for VAT voluntarily?,Yes
Can I apply for Tier 4 student visa for this course?,Is it a an overseas course of degree level study that’s equal to a UK higher education course and is being run by an overseas higher education institution
Can I get tax relief?,Yes
May I be able to get Child Tax Credit?,Are you retired?
Do I need to update my rent certificate?,Have you recently updated your address or accommodation details with Centrelink?
Is our institution eligible?,Yes
Can this benefit be reduced or stopped?,Yes
Are there special rules for exporting these chemicals?,No
Can I claim and deal with tax credits for this person?,Yes
Am I eligible for Head Start and Early Head Start?,Yes
Can I receive Clothing allowance?,Are you a veteran who wears or uses a prosthetic or orthopedic appliance which tends to wear or tear clothing?
Do I qualify for assistance?,No
Do I qualify for assistance?,Irrelevant
Am I in Priority Group 1-3?,Yes
"Can I file bankruptcy under Chapter 9, 12 or 15?",Yes
Can my Business use Centrepay?,Will you notify us of any changes to your Business or the goods and services you provide?
Can I charge or show VAT on my invoices?,Irrelevant
Can I charge VAT on this?,Yes
Am I allowed to work permanently in the United States?,Do you have a Green Card?
Can ALE help this organisation?,Yes
Can I apply to this program?,No
Is this savings option suitable for me?,Irrelevant
Can I get Crisis Payment?,Yes
Do I qualify for this benefit program?,Yes
Could I get Cold Weather Payments?,Yes
Can I be considered for this program?,Are you a transitioning Servicemember within six months of discharge from active duty?
Can my Business use Centrepay?,No
Can ALE help this organisation?,No
Can Educational and Career Counseling help me?,"Do you need to assess your vocational interests, aptitudes, and abilities?"
Am I eligible for the loan?,Are you a federally recognized American Indian Tribe or Alaska Native group?
Can I use the Capital Gains Tax calculator?,"Are you a company, agent, trustee or personal representative?"
Can my tax credit go up or down?,No
Do I need an Export Health Certificate (EHC)?,Will you be exporting animal products outside the EU?
Can I get Crisis Payment?,No
Am I eligible?,No
Is my licence valid?,Irrelevant
Do I have to pay self-employment tax?,Irrelevant
Can the regular amount of benefit I get be reduced?,No
Does this guide apply to me?,No
Do I have the right to return to my job?,Are you on maternity leave?
Do I qualify for Guarantee Credit?,Yes
Can I get a CAS?,Are you at a higher academic level than your previous course?
Can I export this product?,No
Can this benefit reduced or stopped?,Did you commit benefit fraud?
Am I eligible to claim Child Tax Credit?,No
Will my right to maternity be affected?,No
Do I need to tell  the office dealing with my benefit about this?,No
Can CentrePay help my Business reduce this cost?,No
Can the VA help me with this purchase?,No
Am I eligible?,No
Do need to tell HM Revenue and Customs about this?,Irrelevant
Could I get Cold Weather Payments?,Yes
Can I be a designated provider for this person?,No
Can I increase a deduction?,Irrelevant
Is this airport manager performing all their duties?,No
Does this program meet my needs?,No
Am I qualified for this program?,Yes
Do I qualify for relief for most of the time I live away,No
Can I ask for mandatory reconsideration for this benefit?,Is this benefit Maternity Allowance?
Am I eligible for this program?,No
Do I need a supplier document?,Yes
Will I have to pay more tax than I've paid?,Does the charity or CASC get back more than you've paid?
Do I have to pay SE tax and file Schedule SE?,Yes
Am I eligible for the Parenting Payment?,Do you meet residence rules?
Can I get vulnerable student bursary?,Yes
Can I take paternity leave?,Have you taken SPL?
Is a collateral required?,Yes
Does this loan meet my needs?,No
Can the interet rate be fixed?,Is it a legal rate?
Can this payment be stopped or reduced?,Yes
Do I qualify for Guarantee Credit?,No
Can Educational and Career Counseling help me?,Yes
Do I need to wear a seat belt?,Are you a mail carrier and in the process of delivering mail?
Can I be a borrower?,No
Am I qualified for this program?,No
Do I qualify for assistance?,Are you delinquent on a federal debt?
Can I call Debt Management Recovery From Estates now?,No
Does this program meet my needs?,Yes
Have I been contracted out?,Yes
May I be an eligible Veteran?,Irrelevant
Can I be classed as doing voluntary work?,Yes
Can I claim SMP?,Yes
Do I need to wear a seat belt?,Do you have documentation from a physician?
Can this benefit reduced or stopped?,Is the benefit Industrial Injuries Constant Attendance Allowance (where a Disablement Pension is payable)?
Could I inherit part of my deceased partner’s Additional State Pension?,Did they die before April 6 2016
Can I ask for mandatory reconsideration for this benefit?,Is this a personal independence payment (PIP)?
Can send the application now?,Irrelevant
Do I have the right to return to my job?,Yes
Do I need to apply for an EAD?,Yes
Can this organisation claim back the tax I have paid on my donation?,No
Can I get Guardian’s Allowance?,Do you live in an EEA country or Switzerland?
Am I able to claim the new State Pension?,Yes
Can my payments go up?,Do you have a child?
Am I eligible for the loan?,No
Do I qualify for Working Tax Credit?,Yes
Can I inherit my spouse’s Additional State Pension?,Did you start your marriage or civil partnership on or after 6 April 2016?
Am I eligible for this program?,No
Can I use the Centrelink Business Online Services today?,Yes
Will I get the National Minimum Wage?,Yes
Do I need to contact Jobcentre Plus to claim Housing Benefit along with my application for this benefit?,Is it for an Employment and Support Allowance?
Can I get Winter Fuel Payment?,No
Can I get a low-interest loan towards my deposit?,Can you show that you cannot afford the home?
Do I qualify for this benefit program?,No
Am I self-employed?,No
Is it my responsibility to contact the office in this situation?,Irrelevant
Is the Centrepay support service available right now?,Is the time between 8:30 am to 5:00 pm local time?
Am I eligible?,No
Can I export this product to North Korea?,Is your product caviar or a caviar substitute?
Do I need a licence to export these chemicals?,"Does the chemical have ozone-depleting substances, for example HCFCs"
Can I use the same certificate?,No
Could I be able to stay longer to continue my course?,No
Am I able to take all the money in my pension as a tax-free lump sum?,Yes
Will my session time out?,Yes
Do I have the right to be offered a suitable alternative job?,No
Is it possible that I may have to pay UK tax on overseas property?,Did you return to the UK within 5 years of leaving?
Can I apply to bring a dependant to the UK?,Yes
Can I get the basic State Pension?,Yes
Does this program meet my needs?,"Do you wish to purchase, construct, or improve a home on Federal Trust land?"
Can I get a CAS?,No
Is this savings option suitable for me?,Yes
Can access patient information in the database?,No
Can I only pay tax on the gain I've made since 5 April?,No
Can I be a designated provider for this person?,Are you named on the patient's medical marijuana form?
Do I need permission to export this drug?,"Is it a controlled drugs like opioids, certain stimulants or psychotropic substances?"
Can I be considered for this program?,Are you a transitioning Servicemember within six months of discharge from active duty?
Can I be classed as a worker?,Do you only have a limited right to send someone else to do the work (subcontract)?
Can I claim bereavement benefits?,Yes
Can this benefit reduced or stopped?,No
May I be able to get Working Tax Credit?,No
Can I apply to bring a dependant to the UK?,No
Am I responsible for paying back overpayments?,No
Can I reclaim the difference from HMRC?,No
Can I get Winter Fuel Payment?,No
Can my Business use Centrepay?,No
May I be able to get Child Tax Credit?,No
Do I need a plant passport?,Yes
Can I get a low-interest loan towards my deposit?,Yes
Can I start claiming as soon as my EFTPOS provider installs Medicare Easyclaim?,Are you using Medicare Easyclaim for patient claims?
Can I use the loan for this expense?,Will it be used for machinery and equipment?
Am I eligible for a Tier 4 (General) student visa?,No
Can I get all family assistance payments?,No
Can I apply to bring a dependant to the UK?,Are you a doctorate extension scheme student?
Will I be asked questions by this person?,Yes
Am I eligible?,Yes
Can I access the Aged Care Online Services in my browser?,is your browser Google Chrome version 29+?
Will I be contacted by the Department for Work and Pensions (DWP)?,No
Am I entitled to the correct minimum wage,Yes
Can I apply for a higher rate of Family Tax Benefit Part B?,Yes
Could I inherit part of my deceased partner’s Additional State Pension?,No
May I be able to get Child Tax Credit?,Yes
Can some of my benefit stop?,Are you working more hours?
Can I apply for a NASH PKI certificate?,Do you meet the eligibility criteria?
Do I have the right to return to my job?,Are you on maternity leave?
Can I be considered for this program?,No
Can I call the helpline now?,Irrelevant
Is this land eligible for wetland reserve easements?,No
Am I eligible?,Are you the child of a Turkish worker?
Could I be eligible to apply as a Immediate relative  of a U.S. citizen?,Irrelevant
Am I eligible for the loan?,Yes
Am I entitled to the correct minimum wage for my age?,Are you an Apprentice?
Do I qualify for this benefit program?,No
Can I use the loan for this expense?,Yes
Do I need to wear protective headgear?,Are you the driver of an off-road motorcycle?
Can I get the National Living Wage?,Are you a worker over 25?
Can I export this product to North Korea?,No
Can I consume this marijuana?,Yes
Do I need to register?,No
Can I claim SMP?,Yes
Can I apply for a Tier 4 (General) student visa?,Yes
Does this guide apply to me?,No
Am I entitled to the National Minimum Wage?,"Are you a worker on a government employment programme, such as the Work Programme?"
Can I have my own bedroom?,Irrelevant
Is the fishermen's contingency fund suitable for me?,Are you a fisherman that operates on the U.S. Outer Continental Shelf?
Am I eligible?,No
Have I contributed through my National Insurance contributions?,Were you caring for a sick or disabled person more than 20 hours a week and claiming Carer’s Credit?
Can I ge the full amount?,No
Can this benefit reduced or stopped?,Is it bereavement payment?
Can I claim this expense?,No
Can my Business use Centrepay?,Will you have other payment methods to give your customers options on how they want to pay for goods and services?
Can I send my appeal now?,Are you within a month of the date of your mandatory reconsideration notice?
Do I need to register?,Are you a couple?
Will I get up to £2010?,Irrelevant
Can I obtain an NADL?,No
Can Tax Credit Office ask me to provide details of the day-to-day running of my business?,No
Am I entitled to the National Minimum Wage?,No
Will my basic State Pension will be more than £122.30 per week?,No
Do I qualify for this benefit program?,No
Can I charge VAT on this?,Is it a business good used for personal reasons?
Do I qualify for this benefit program?,No
Can I be a designated provider for this person?,Yes
Do I need to apply for Universal Credit?,Can you make a new claim for Working Tax Credit?
Can I take paternity leave?,Yes
Can I ask for mandatory reconsideration for this benefit?,Is this benefit an Employment and Support Allowance (ESA)?
Can I call the helpline now?,No
Can I get a CAS?,Yes
Can I export this product to North Korea?,"is it high quality clothes, clothing accessories and shoes"
Can I export this product to North Korea?,Yes
Can I suspend a deduction?,No
Can I claim and deal with tax credits for this person?,Yes
Can I send my appeal now?,Yes
Can I backdate this claim?,Yes
Can I obtain an NADL?,Are you going to occupy the property as your primary residence?
Can I get a CAS?,Yes
Can the loan be guaranteed?,No
Will I be asked questions by this person?,Yes
Can I get the 'top up'?,No
Do I qualify for this benefit program?,No
May I be able to get Working Tax Credi?,Yes
Is this a cultural good?,No
Can my Business use Centrepay?,No
Am I eligible?,Are a serving member of the UK armed forces (or their spouse or civil partner or a dependent parent living with them) not resident in the UK and your course started after 1 August 2017
Is this a legal commerical airport?,No
Do I need to register?,No
Can this benefit reduced or stopped?,No
Can I export this product to North Korea?,Is it high quality cigars and cigarillos?
Can Tax Credit Office ask me to provide evidence that I’ve promoted my business?,Is the average hourly profit from your self-employed work less than the National Minimum Wage?
Do I qualify for the Warm Home Discount Scheme?,Yes
Am I eligible?,No
Is this a digital service?,Is the service broadcasting?
Can I get a CAS?,Yes
Does the SBA loan meet my needs?,Are you a business?
Can I get a CAS?,Are you re-sitting exams or repeating modules?
Am I entitled to the apprentice rate?,No
Do I need to wear a seat belt?,No
Can I get Cold Weather Payments?,No
Are there special rules for calculating my gain?,Did you sell a lease or part of your land?
Can the VA help me with this purchase?,No
Can I apply through my local council?,No
Am I eligible for the Parenting Payment?,No
Do I need a certificate or to follow special rules to export this product?,Yes
Can I access the Aged Care Online Services in my browser?,Is your browser set to allow Secure Sockets Layer (SSL)?
Can some of my benefit stop?,Are you earning more money?
Do I have the right to return to my job?,Yes
Am I eligible?,Yes
Can some of my benefit stop?,Yes
Can this benefit be reduced or stopped?,have you commited benefit fraud?
Could the adult dependency increase I receive stop?,No
Can the Farm Service Agency help me?,No
Can I be classified as a worker?,"Does the business provides materials, tools or equipment you need to do the work?"
Can I be classed as doing voluntary work?,Yes
Will I be asked questions by this person?,Yes
Do I qualify for Guarantee Credit?,No
Can I get an additional one-year period after enactment to enroll for VA health care?,Yes
Can I get Winter Fuel Payment?,No
Is this land eligible for agricultural easements?,Is it rangeland?
Can I send my appeal now?,Are you within a month of the date of your mandatory reconsideration notice?
Can I get a CAS?,"Are you intercalated to a medicine, dentistry or medical science course you started studying under a Tier 4 (General) student visa?"
Can this benefit reduced or stopped?,Is the benefit Industrial Injuries Constant Attendance Allowance (where a Disablement Pension is payable)?
Can I get Guardian’s Allowance?,Do you live in an EEA country or Switzerland?
Can I get a get a Personal Allowance of tax-free income?,Yes
Can Educational and Career Counseling help me?,Yes
Can I apply to bring a dependant to the UK?,Yes
Can I ge the full amount?,No
Am I entitled to the National Minimum Wage?,Yes
Can I ask for mandatory reconsideration for this benefit?,Is it bereavement allowance?
Am I eligible for Dad and Partner Pay?,Irrelevant
Do I need to wear protective headgear?,Are you the driver of an off-road motorcycle?
Do I have authority to view current and historical claims for the nominated service?,Yes
Can I be classified as a worker?,Yes
Can ALE help this organisation?,Yes
Can I use the loan for this expense?,Will the loan be used for normal operating expenses?
Do I have authority to view care recipient information?,Yes
Can I apply for Tier 4 student visa now?,Yes
Can my tax credit go up or down?,Yes
Have I contributed through my National Insurance contributions?,Did you make contributions  between 6 April 2002 and 5 April 2016?
Am I entitled to the National Minimum Wage?,Yes
Can I claim SMP?,Yes
Am I in Priority Group 1-3?,Yes
Can this organisation claim back the tax I have paid on my donation?,Irrelevant
Will I be asked questions by this person?,Is this person the government department or council’s representative (known as the ‘presenting officer’)?
Can this benefit reduced or stopped?,No
Can I apply?,Yes
Can I charge the standard rate for this good?,Are the goods or services classed as reduced or zero-rated?
Can I apply for a Tier 4 (General) student visa?,Are you 16 or over?
Is my ITAHC valid?,Yes
Can I apply to this program?,Irrelevant
Can my au pair be classified as a worker?,Are they an EU citizen?
Does tax relief apply to this?,Is it a maintenance payment?
Can I use the loan for this expense?,No
Can I increase my basic State Pension?,Are you not eligible for the full amount?
Can I use the market value of the property when working out my gain?,Yes
Do I qualify for this benefit program?,No
Do I need to apply for an EAD?,Yes
Can I qualify for Working Tax Credit?,No
Can I export this product to North Korea?,Is your product truffles or goods containing truffles?
Can I apply for a Tier 4 (General) student visa?,No
Can I use the loan for this expense?,No
Can I be classified as a worker?,No
Have I logged out properly?,No
Can I get Crisis Payment?,No
Will my right to maternity be affected?,No
Do I qualify for Guarantee Credit?,No
Can I use the Capital Gains Tax calculator?,Yes
Can I claim back National Insurance?,No
Is it my responsibility to contact the office in this situation?,No
Can I use the market value of the property when working out my gain?,did you own it before April 1982
Do I have the right to return to my job?,Yes
Can this benefit be reduced or stopped?,Did you commit benefit fraud?
Will I get the National Minimum Wage?,Yes
Do I need to wear a seat belt?,Are you older than 1 year old and there are more people in the vehicle than seat belts?
Can I be a designated provider for this person?,Has the patient signed his or her copy of the authorization form?
Do I need to fill in a form?,Yes
Should I file for EAD renewal?,Is it more than 180 days before your original EAD expires?
Am I eligible?,Are you the child of a Turkish worker?
Is it my responsibility to contact the office in this situation?,Do you believe that you have been overpaid?
Could I get Cold Weather Payments?,Do you get Income Support?
Can I be considered for this program?,Are you a transitioning Servicemember within six months of discharge from active duty?
Can I use the loan for this expense?,No
Can I contact the Independent Adjudicator?,Yes
Can I ge the full amount?,No
Am I eligible for this program?,Do you have good credit and earnings records behind the project?
Can the Conservation Reserve Program help me?,Are you a farmer removing environmentally sensitive land from agricultural production?
Do I need to contact the office?,No
Am I eligible for the loan?,No
Can I appoint a Child Support representative?,"Is the person a child who you paid or get child support for, even if they've turned 18?"
Can I use the market value of the property when working out my gain?,Yes
Am I considered Veteran?,Yes
Can Educational and Career Counseling help me?,Yes
Am I eligible?,No
Can this benefit reduced or stopped?,Did you commit benefit fraud?
Is the B&I guaranteed loan program for me?,Yes
Can I get Winter Fuel Payment?,No
Can I add the cost of this improvement to my loan amount?,Irrelevant
Can this benefit be reduced or stopped?,No
Am I eligible for Dad and Partner Pay?,Yes
Can openings be available to me?,Are you a woman?
Can I use the market value of the property when working out my gain?,"Was the property a gift (there are different rules if it was to your spouse, civil partner or a charity)?"
Does this payment count as paid work?,No
Can I get a low-interest loan towards my deposit?,No
Can it be paid to my dependent?,No
Can I export this product to North Korea?,Is your product high quality wines and spirits?
Can this fund help me?,Yes
Can my partner and I claim working tax credit?,Yes
Am I entitled to the correct minimum wage,Irrelevant
Can I apply to use Centrepay?,Yes
Am I entitled to the National Minimum Wage?,Are you a worker on government pre-apprenticeship scheme?
Am I entitled to the correct minimum wage,Yes
Can I get Winter Fuel Payment?,No
Is this land eligible for wetland reserve easements?,No
Do I need to apply for an EAD?,No
Can I apply for Tier 4 student visa now?,Yes
Am I eligible for this benefit?,No
Does the loan meet my needs?,Yes
Can I claim and deal with tax credits for this person?,Do they both live with you?
Will I be contacted by the Department for Work and Pensions (DWP)?,Are you suspected of benefit fraud?
Can I apply to this program?,Yes
Could I inherit part of my deceased partner’s Additional State Pension?,No
Can I use the market value of the property when working out my gain?,Yes
Can my Business use Centrepay?,No
Is this a digital service?,Yes
Am I eligible for Head Start and Early Head Start?,No
Can I carry on claiming Carer’s Allowance if I go on holiday?,No
Can this benefit reduced or stopped?,No
Can ALE help this organisation?,Yes
Could I inherit part of my deceased partner’s Additional State Pension?,Did you partner reach state pension age before April 6 2016?
Will my right to maternity be affected?,Irrelevant
Can send the application now?,No
Can some of my benefit stop?,Has the council contacted you?
Do I need to include this if I write?,Yes
Do I need to contact Jobcentre Plus to claim Housing Benefit along with my application for this benefit?,Yes
Will I get the National Minimum Wage?,"Are you a a student doing work experience as part of a higher or further education course, of compulsory school age, a volunteer or doing voluntary work, or on a government or European programme?"
Can I charge VAT on this?,Irrelevant
Am I eligible for unemployment benefits?,Did you work at least 680 in your base year?
Can my Business use Centrepay?,Does your business have registration?
Can I claim my Medicare benefit?,Is your Medicare online account through MyGov?
Can I use the loan for this expense?,No
Can I get Winter Fuel Payment?,Yes
Can I claim Jobseeker’s Allowance?,Are you looking for work in a European Economic Area (EEA) county?
Could I get Cold Weather Payments?,Yes
Can my au pair be classified as a worker?,No
Am I eligible for 16 to 19 Bursary Fund?,Yes
Can I claim benefits for carers and people with disabilities?,Irrelevant
Can my Business use Centrepay?,No
Can I ask for mandatory reconsideration for this benefit?,Is this benefit a Sure Start Maternity Grant?
Do these benefits apply to me?,No
Can I get Cold Weather Payments?,Do you get the disabled child amount in your claim?
Do I qualify for this benefit program?,No
Does this insurance cover my need?,Yes
Can I register for VAT?,No
Can I get Crisis Payment?,Yes
Do I need to wear protective headgear?,No
Can I export this product to North Korea?,Yes
Do I need to post the form VAT1A?,Are you an EU business ‘distance selling’ to the UK?
Is this a digital service?,Is the service broadcasting?
Can my Business use Centrepay?,No
Can I apply to become a tax credit appointee?,No
Do I qualify for assistance?,Are you not delinquent on federal debt?
Can some of my benefit stop?,Did you go back to work?
Do I need to pay UK tax on income or gains?,Yes
Do I qualify for assistance?,No
Have I contributed through my National Insurance contributions?,Were you looking after children under 12 and claiming Child Benefit?
Can I call the helpline now?,No
Could I get Cold Weather Payments?,No
May I be able to get Child Tax Credit?,No
Can I ask for mandatory reconsideration for this benefit?,Yes
Can this benefit reduced or stopped?,Is the benefit Industrial Injuries Exceptionally Severe Disablement Allowance (where a Disablement Pension is payable)?
Is this a legal noncommerical airport?,"Is there a wind direction indicator consisting of either a wind sock, tetrahedron or wind tee located adjacent to the landing area?"
Can I claim online?,Irrelevant
Can I stop paying Class 1 National Insurance?,Yes
Can I be on motorways or slip roads?,Yes
Should I read the Consumer Leasing Policy?,Irrelevant
